row_id,canonical_amine_object,chemistry_object,Amine_1,Solvent,abs_residual__DS-unknown,abs_residual__strict_amine_object_holdout,error_type__DS-unknown,error_type__strict_amine_object_holdout,oof_proba__DS-unknown,oof_proba__strict_amine_object_holdout,signed_residual__DS-unknown,signed_residual__strict_amine_object_holdout,y__DS-unknown,y__strict_amine_object_holdout,bias_alignment
61,MEA,MEA__ethanol,MEA,ethanol,0.7698693188267538,0.7929408051512421,FP,FP,0.7698693188267538,0.7929408051512421,-0.7698693188267538,-0.7929408051512421,0.0,0.0,consistent_strong_overprediction
62,MEA,MEA__n-propanol,MEA,n-propanol,0.11586620907326173,0.09568999075103402,TP,TP,0.8841337909267383,0.904310009248966,0.11586620907326173,0.09568999075103402,1.0,1.0,consistent_underprediction
63,MEA,MEA__isopropanol,MEA,isopropanol,0.1378382165828408,0.11565673691859413,TP,TP,0.8621617834171592,0.8843432630814059,0.1378382165828408,0.11565673691859413,1.0,1.0,consistent_underprediction
64,MEA,MEA__Tertiarybutanol,MEA,Tertiarybutanol,0.08666488381014803,0.06973920590830562,TP,TP,0.913335116189852,0.9302607940916944,0.08666488381014803,0.06973920590830562,1.0,1.0,consistent_underprediction
65,MEA,MEA__Methanol,MEA,Methanol,0.4759699182195326,0.4887273494532171,TN,TN,0.4759699182195326,0.4887273494532171,-0.4759699182195326,-0.4887273494532171,0.0,0.0,consistent_strong_overprediction
66,MEA,MEA__ethanol,MEA,ethanol,0.7247046342975643,0.7815422656171127,FP,FP,0.7247046342975643,0.7815422656171127,-0.7247046342975643,-0.7815422656171127,0.0,0.0,consistent_strong_overprediction
67,MEA,MEA__n-propanol,MEA,n-propanol,0.16025680898583172,0.11175975725200216,TP,TP,0.8397431910141683,0.8882402427479978,0.16025680898583172,0.11175975725200216,1.0,1.0,consistent_underprediction
68,MEA,MEA__isopropanol,MEA,isopropanol,0.18331063011401005,0.12795816699100382,TP,TP,0.81668936988599,0.8720418330089962,0.18331063011401005,0.12795816699100382,1.0,1.0,consistent_underprediction
69,MEA,MEA__Tertiarybutanol,MEA,Tertiarybutanol,0.12497817602377814,0.08039440434818801,TP,TP,0.8750218239762219,0.919605595651812,0.12497817602377814,0.08039440434818801,1.0,1.0,consistent_underprediction
70,EAE,EAE__DEGDEE,EAE,DEGDEE,0.6141098410642868,0.5272077739628839,FN,FN,0.3858901589357132,0.4727922260371161,0.6141098410642868,0.5272077739628839,1.0,1.0,consistent_strong_underprediction
71,EAE,EAE__DEGDEE,EAE,DEGDEE,0.3035894449182286,0.1686247969111313,TP,TP,0.6964105550817714,0.8313752030888687,0.3035894449182286,0.1686247969111313,1.0,1.0,consistent_underprediction
72,EAE,EAE__DEGDEE,EAE,DEGDEE,0.2502128473642353,0.20575726467934163,TP,TP,0.7497871526357647,0.7942427353206584,0.2502128473642353,0.20575726467934163,1.0,1.0,consistent_underprediction
73,EAE,EAE__DEGDEE,EAE,DEGDEE,0.19308591834628996,0.21926477314124915,TP,TP,0.80691408165371,0.7807352268587509,0.19308591834628996,0.21926477314124915,1.0,1.0,consistent_underprediction
74,EAE,EAE__DEGDEE,EAE,DEGDEE,0.14855016989622039,0.06279091791166724,TP,TP,0.8514498301037796,0.9372090820883328,0.14855016989622039,0.06279091791166724,1.0,1.0,consistent_underprediction
75,EAE,EAE__DEGDEE,EAE,DEGDEE,0.09336276899585105,0.09137572240366398,TP,TP,0.906637231004149,0.908624277596336,0.09336276899585105,0.09137572240366398,1.0,1.0,consistent_underprediction
76,MAE,MAE__DGM,MAE,DGM,0.35058087940530924,0.4233949533659336,TP,TP,0.6494191205946908,0.5766050466340664,0.35058087940530924,0.4233949533659336,1.0,1.0,consistent_strong_underprediction
77,MAE,MAE__DGM,MAE,DGM,0.042522792115033625,0.008962289876605967,TP,TP,0.9574772078849664,0.991037710123394,0.042522792115033625,0.008962289876605967,1.0,1.0,consistent_underprediction
78,MAE,MAE__DGM,MAE,DGM,0.03021294301521582,0.011580770947645203,TP,TP,0.9697870569847842,0.9884192290523548,0.03021294301521582,0.011580770947645203,1.0,1.0,consistent_underprediction
79,MAE,MAE__DGM,MAE,DGM,0.02677469673092281,0.010714450829369393,TP,TP,0.9732253032690772,0.9892855491706306,0.02677469673092281,0.010714450829369393,1.0,1.0,consistent_underprediction
80,MAE,MAE__DGM,MAE,DGM,0.028406337256819847,0.011117596092149573,TP,TP,0.9715936627431802,0.9888824039078504,0.028406337256819847,0.011117596092149573,1.0,1.0,consistent_underprediction
81,MEA,MEA__n-propanol,MEA,n-propanol,0.0558038836135442,0.0487090155486196,TN,TN,0.0558038836135442,0.0487090155486196,-0.0558038836135442,-0.0487090155486196,0.0,0.0,consistent_overprediction
82,MEA,MEA__n-propanol,MEA,n-propanol,0.1356100744537317,0.1026794479151602,TN,TN,0.1356100744537317,0.1026794479151602,-0.1356100744537317,-0.1026794479151602,0.0,0.0,consistent_overprediction
83,MEA,MEA__n-propanol,MEA,n-propanol,0.3053917821622933,0.2274999757181683,TN,TN,0.3053917821622933,0.2274999757181683,-0.3053917821622933,-0.2274999757181683,0.0,0.0,consistent_overprediction
84,MEA,MEA__n-propanol,MEA,n-propanol,0.4606340877931909,0.5572320478901334,TP,FN,0.5393659122068091,0.4427679521098666,0.4606340877931909,0.5572320478901334,1.0,1.0,consistent_strong_underprediction
85,MEA,MEA__n-propanol,MEA,n-propanol,0.26625891152674586,0.32352948017375915,TP,TP,0.7337410884732541,0.6764705198262408,0.26625891152674586,0.32352948017375915,1.0,1.0,consistent_strong_underprediction
86,MEA,MEA__n-propanol,MEA,n-propanol,0.1590594501744802,0.16966587262295096,TP,TP,0.8409405498255198,0.830334127377049,0.1590594501744802,0.16966587262295096,1.0,1.0,consistent_underprediction
87,MEA,MEA__n-propanol,MEA,n-propanol,0.11688828940576867,0.10000605144723229,TP,TP,0.8831117105942313,0.8999939485527677,0.11688828940576867,0.10000605144723229,1.0,1.0,consistent_underprediction
88,MEA,MEA__n-propanol,MEA,n-propanol,0.12441640198715453,0.08870228809033043,TP,TP,0.8755835980128455,0.9112977119096696,0.12441640198715453,0.08870228809033043,1.0,1.0,consistent_underprediction
89,MEA,MEA__n-propanol,MEA,n-propanol,0.21643633360951597,0.15514842979243626,TP,TP,0.783563666390484,0.8448515702075637,0.21643633360951597,0.15514842979243626,1.0,1.0,consistent_underprediction
90,MEA,MEA__isopropanol,MEA,isopropanol,0.0541778226597248,0.0473305219624126,TN,TN,0.0541778226597248,0.0473305219624126,-0.0541778226597248,-0.0473305219624126,0.0,0.0,consistent_overprediction
91,MEA,MEA__isopropanol,MEA,isopropanol,0.1282857643573507,0.0969262365127431,TN,TN,0.1282857643573507,0.0969262365127431,-0.1282857643573507,-0.0969262365127431,0.0,0.0,consistent_overprediction
