protocol,group_family,group_name,n,pos_n,neg_n,pos_rate,pred_pos_rate,proba_mean,signed_residual_mean,abs_residual_mean,brier_mean,error_rate,fn_rate_all,fp_rate_all,fn_given_pos,fp_given_neg,auc
DS-known,canonical_amine_object,MEA,121,91,30,0.7520661157024794,0.71900826446281,0.6738228921786552,0.07824322352382405,0.2712113575615363,0.11888838539069115,0.1652892561983471,0.09917355371900827,0.06611570247933884,0.13186813186813187,0.26666666666666666,0.8695970695970696
DS-known,canonical_amine_object,DMAE|TETA,27,0,27,0.0,0.0,0.2612575445954312,-0.2612575445954312,0.2612575445954312,0.068363596483317,0.0,0.0,0.0,,0.0,
DS-known,canonical_amine_object,1-amino-2-propanol,8,5,3,0.625,0.625,0.5958990830160704,0.029100916983929595,0.25130320610464185,0.07736412965398845,0.0,0.0,0.0,0.0,0.0,1.0
DS-known,canonical_amine_object,DMCA|TETA,5,5,0,1.0,1.0,0.7727810375476276,0.22721896245237244,0.22721896245237244,0.06526974549567177,0.0,0.0,0.0,0.0,,
DS-known,canonical_amine_object,DEEA|TETA,6,6,0,1.0,1.0,0.7729276894207122,0.22707231057928787,0.22707231057928787,0.060871609235220135,0.0,0.0,0.0,0.0,,
DS-known,canonical_amine_object,EAE,23,19,4,0.8260869565217391,0.7391304347826086,0.6679130508530263,0.15817390566871287,0.20801842288079286,0.06527370056912452,0.08695652173913043,0.08695652173913043,0.0,0.10526315789473684,0.0,1.0
DS-known,canonical_amine_object,IPMEA,5,0,5,0.0,0.0,0.2002773756461898,-0.2002773756461898,0.2002773756461898,0.04095588212141303,0.0,0.0,0.0,,0.0,
DS-known,canonical_amine_object,TEPA,16,14,2,0.875,0.875,0.8148947158661594,0.060105284133840704,0.19397413038319353,0.08626611026459939,0.125,0.0625,0.0625,0.07142857142857142,0.5,0.8928571428571428
DS-known,canonical_amine_object,TETA,6,6,0,1.0,1.0,0.8815909940572784,0.11840900594272157,0.11840900594272157,0.018871880565851266,0.0,0.0,0.0,0.0,,
DS-known,canonical_amine_object,DEA,12,12,0,1.0,1.0,0.9332376295421047,0.06676237045789561,0.06676237045789561,0.005810320091247601,0.0,0.0,0.0,0.0,,
DS-known,canonical_amine_object,AEEA|PMDETA,10,10,0,1.0,1.0,0.9661103142985088,0.03388968570149124,0.03388968570149124,0.0028697493124835867,0.0,0.0,0.0,0.0,,
DS-known,chemistry_object,AEP__sulfolane,6,6,0,1.0,0.16666666666666666,0.2586662250802279,0.741333774919772,0.741333774919772,0.5852268721443677,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,,
DS-known,chemistry_object,MEA__ethanol,6,0,6,0.0,0.8333333333333334,0.6181519360857137,-0.6181519360857137,0.6181519360857137,0.4187164985868687,0.8333333333333334,0.0,0.8333333333333334,,0.8333333333333334,
DS-known,chemistry_object,MAE__n-propanol,6,0,6,0.0,0.6666666666666666,0.5996297723751126,-0.5996297723751126,0.5996297723751126,0.405392247473868,0.6666666666666666,0.0,0.6666666666666666,,0.6666666666666666,
DS-known,chemistry_object,DEEA|HMDA__NO_SOLVENT,13,0,13,0.0,1.0,0.5815794062883066,-0.5815794062883066,0.5815794062883066,0.3394102869708676,1.0,0.0,1.0,,1.0,
