protocol,row_id,canonical_amine_object,chemistry_object,Amine_1,Amine_2,Solvent,system_type,Temperature(K),H2O wt%,Amine 1 wt%,Amine 2 wt%,Solvent wt%,Phase Type,y,oof_proba,oof_pred,error_type,signed_residual,abs_residual,x_H2O,Am_Med_ratio,Delta_S_np,Delta_S_acc,Sal_Out
LOCO,102,MEA,MEA__sulfolane,MEA,(none),sulfolane,single_amine_solvent,313,42.0,30.0,0.0,28.0,B,1,0.1233588133981758,0,FN,0.8766411866018242,0.8766411866018242,0.7630078692536336,0.1915209105066807,0.3053235399408604,0.1520218981677961,0.3082538701617835
LOCO,254,AEP,AEP__isopropanol,AEP,(none),isopropanol,single_amine_solvent,303,0.0,50.0,0.0,50.0,B,1,0.123407907691917,0,FN,0.876592092308083,0.876592092308083,0.0,0.4651141192033864,0.0195041711327705,0.0075156065937552,0.0
LOCO,33,MAE|NMP,MAE|NMP__NO_SOLVENT,MAE,NMP,(none),dual_amine_aqueous,313,35.0,30.0,35.0,0.0,M,0,0.8719929261389139,1,FP,-0.8719929261389139,0.8719929261389139,0.7208178510669422,0.387313034103456,0.5281108564753516,0.2176907291011077,0.2070739057531284
LOCO,135,MAE,MAE__n-propanol,MAE,(none),n-propanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.871528053654034,1,FP,-0.871528053654034,0.871528053654034,0.4741110022343521,0.205650743207742,0.1194944823543511,0.0468389965451358,0.306243020477038
LOCO,141,MAE,MAE__isopropanol,MAE,(none),isopropanol,single_amine_solvent,313,20.0,30.0,0.0,50.0,M,0,0.8663869346523586,1,FP,-0.8663869346523586,0.8663869346523586,0.4741110022343521,0.205650743207742,0.1278030110105678,0.0535672322667633,0.3023038556287463
LOCO,282,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,353,0.0,28.0,0.0,72.0,B,1,0.1396787229166964,0,FN,0.8603212770833036,0.8603212770833036,0.0,0.9560768777402556,0.0647129034103914,0.0029521164101237,0.0
LOCO,328,DEEA|HxA,DEEA|HxA__NO_SOLVENT,HxA,DEEA,(none),dual_amine_aqueous,303,43.81,15.18,41.01,0.0,M,0,0.8589463766398788,1,FP,-0.8589463766398788,0.8589463766398788,0.829472180502518,0.2055859418865209,0.6353327344042836,0.2926293512795546,0.2382877225862
LOCO,251,AEP,AEP__n-propanol,AEP,(none),n-propanol,single_amine_solvent,303,0.0,50.0,0.0,50.0,B,1,0.1438903589034474,0,FN,0.8561096410965526,0.8561096410965526,0.0,0.4651141192033864,0.0066306050725346,0.0028385822834337,0.0
LOCO,471,DETA,DETA__NO_SOLVENT,DETA,(none),(none),single_amine_aqueous,393,82.9,17.1,0.0,0.0,M,0,0.8503666579692605,1,FP,-0.8503666579692605,0.8503666579692605,0.9652331298810845,0.0360191429848278,0.472461578257938,0.2204175319018481,0.2772886296738377
LOCO,417,DETA,DETA__NO_SOLVENT,DETA,(none),(none),single_amine_aqueous,393,80.0,20.0,0.0,0.0,M,0,0.8426441586340119,1,FP,-0.8426441586340119,0.8426441586340119,0.9581712450737336,0.0436547800210848,0.472461578257938,0.2204175319018481,0.2752599173342747
LOCO,284,MEA,MEA__TEG,MEA,(none),TEG,single_amine_solvent,353,0.0,17.0,0.0,83.0,B,1,0.1578651031250376,0,FN,0.8421348968749625,0.8421348968749625,0.0,0.5035447927515501,0.0647129034103916,0.0029521164101237,0.0
LOCO,14,PMDETA|TEPA,PMDETA|TEPA__NO_SOLVENT,TEPA,PMDETA,(none),dual_amine_aqueous,298,30.0,30.0,40.0,0.0,M,0,0.8374455030171877,1,FP,-0.8374455030171877,0.8374455030171877,0.8105258811371109,0.2337668953850512,0.5934807647711731,0.2697949731863708,0.232844899266334
