row_id,Amine_1,Amine_2,Solvent,canonical_amine_object,chemistry_object,amine_count,y,x_Am1,x_Am2,x_Sol,x_H2O,S_ideal,minus_T_Smix,inv_T,xa_invT,ln_MW_ratio,Am_Med_ratio,Water_ent,Am_acc,Am_don,Am_np,Am_wid,Sv_acc,Sv_don,Sv_np,Sv_wid,Delta_S_np,Delta_S_acc,Sal_Out
26,MAE,,TEGDME,MAE,MAE__TEGDME,1,0,0.157335437727063,0.0,0.07735723758502405,0.765307324687913,0.6936569860337616,-217.11463662856738,3.194888178913738,0.5026691301184122,0.8308910366937428,0.18671182433789796,0.20470271509924542,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.27220640856819334,0.22411913636406622,0.5036744550677406,0.0001015089256008019,0.26175108358735155,0.1297116933745545,0.38546574972153497
27,MAE,,EGME,MAE,MAE__EGME,1,0,0.14253630032878237,0.0,0.16414199000802987,0.6933217096631877,0.828228551309686,-259.2355365599317,3.194888178913738,0.4553875409865252,0.9470842785943315,0.1662301277398328,0.2539368136363895,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.27787628132564035,0.239487094721765,0.48263662395259466,0.00010571476508691728,0.28278891470249745,0.1353815661320015,0.33462244926488194
28,MAE,,EGEE,MAE,MAE__EGEE,1,0,0.14627326176517683,0.0,0.14222778890672158,0.7114989493281015,0.8007494108746244,-250.63456560375744,3.194888178913738,0.46732671490471833,0.9168367752807882,0.17133498953944215,0.24218096446582912,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.2616006034151039,0.22572426591273428,0.5126751306721619,9.910502014546848e-05,0.25275040798293025,0.11910588822146503,0.36476781681989034
29,MAE,1MI,,1MI|MAE,1MI|MAE__NO_SOLVENT,2,0,0.14426997451408877,0.1539754187475013,0.0,0.70175460673841,0.8159402984363826,-255.38931341058776,3.194888178913738,0.9528606813469331,1.4747063733069103,0.42499955169135173,0.24854148108080637,0.12680996259901373,0.06548695132692883,0.8077030860740574,5.211375160832848e-05,0.3562763508789981,0.35644732064686485,0.28727632847413703,0.0001412623541007264,0.5204267575999204,0.2294663882799844,0.2015974869136223
30,MAE,,DMSO,MAE,MAE__DMSO,1,0,0.14315006668539754,0.0,0.16054275581816374,0.6963071774964387,0.8239663349174347,-257.901462829157,3.194888178913738,0.45734845586388995,0.942071438506589,0.16706550484455865,0.2520383881560445,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.2823263611374262,0.22539996735668266,0.49227367150589113,0.00010811445925327406,0.273151867149201,0.13983164594378736,0.3427736907620761
31,MAE,,DX,MAE,MAE__DX,1,0,0.14579877579132358,0.0,0.14501025836158482,0.7091909658470915,0.8044468833735923,-251.7918744959344,3.194888178913738,0.4658107852757942,0.9206415081367734,0.17068434422605688,0.2436996060309345,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.27903996560411204,0.22639372068350283,0.4945663137123851,0.00010384553277899595,0.27085922494270703,0.1365452504104732,0.350741961697122
32,MAE,,PC,MAE,MAE__PC,1,0,0.14875329438091037,0.0,0.12768444014489305,0.7235622654741967,0.7803657096982517,-244.25446713555277,3.194888178913738,0.47525014179204594,0.8971149357389618,0.17474757129609234,0.23412208362178977,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.2948970366338586,0.23692784435612638,0.4681751190100152,0.00010848632605750834,0.2972504196450769,0.15240232144021973,0.3387538497495382
33,MAE,NMP,,MAE|NMP,MAE|NMP__NO_SOLVENT,2,0,0.1481890849082702,0.13099306402478755,0.0,0.7208178510669422,0.7851636244341972,-245.75621444790372,3.194888178913738,0.891955747389961,1.5675612476667973,0.387313034103456,0.2359732802291125,0.1385856217778904,0.046027193272621045,0.8153871849494886,4.7672547382144345e-05,0.3562763508789981,0.35644732064686485,0.28727632847413703,0.0001412623541007264,0.5281108564753516,0.2176907291011077,0.20707390575312848
34,MAE,DMAC,,DMAC|MAE,DMAC|MAE__NO_SOLVENT,2,0,0.1455603741991848,0.1464082873543705,0.0,0.7080313384464446,0.8062810151951498,-252.36595775608188,3.194888178913738,0.9328072254107198,1.504881091400763,0.412366862452413,0.24445980155927977,0.1362235989695275,0.04391140458853196,0.8198649964419404,4.758643627596405e-05,0.3562763508789981,0.35644732064686485,0.28727632847413703,0.0001412623541007264,0.5325886679678034,0.22005275190947063,0.2034006433535237
35,MAE,,DGM,MAE,MAE__DGM,1,1,0.13587897069065907,0.0,0.07099388865071501,0.793127140658626,0.6428279215639696,-201.20513944952248,3.194888178913738,0.434118117222553,1.0026504106969432,0.15724530023196487,0.18382445861969832,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.29073544423402964,0.2531352558089557,0.45612929995701473,0.00011055926091210492,0.3092962386980774,0.1482407290403908,0.36176852744552784
36,MAE,,DGM,MAE,MAE__DGM,1,1,0.17620960916163636,0.0,0.13809869152402113,0.6856916993143426,0.8380502204049887,-262.3097189867614,3.194888178913738,0.562969997321522,0.6949440095594651,0.21390102521358087,0.25873010851984957,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.2480275967084382,0.18581491896112579,0.5661574843304359,9.05524724398194e-05,0.19926805432465622,0.10553288151479936,0.3882094875100699
37,MAE,,DGM,MAE,MAE__DGM,1,1,0.20691750729137173,0.0,0.18919253800830974,0.6038899547003186,0.9455687210034652,-295.9630096740846,3.194888178913738,0.6610782980555008,0.4963091836152359,0.26090288109175364,0.3045799254676896,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.22326361876946915,0.14677948558919926,0.6299568956413316,7.895161440436606e-05,0.1354686430137605,0.0807689035758303,0.3804246411719971
38,MAE,,DGM,MAE,MAE__DGM,1,1,0.25058710876959156,0.0,0.2618529299547597,0.4875599612756488,1.0479101599264045,-327.9958800569646,3.194888178913738,0.8005977915961392,0.24818562821660609,0.33437789995557154,0.35023479702849597,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.1957150038767529,0.103354631804248,0.700930364318999,6.604627362568385e-05,0.06449517433609309,0.05322028868311404,0.3417455812842976
39,MAE,,DGM,MAE,MAE__DGM,1,1,0.31762036791640375,0.0,0.3733873318769883,0.308992300206608,1.0950092953725996,-342.7379094516237,3.194888178913738,1.0147615588383507,-0.0825685701652415,0.4654599184710536,0.36289258359536214,0.14249471519363885,0.09207974615126893,0.7654255386550921,5.459151713440061e-05,0.1648840849961995,0.05475588556391687,0.7803600294398836,5.1603314455732145e-05,0.014934490784791477,0.02238936980256065,0.24112524048592596
40,MEA,,Methanol,MEA,MEA__Methanol,1,0,0.11880982792149716,0.0,0.07549861149695954,0.8056915605815433,0.6222268225579975,-188.53472723507326,3.3003300330033003,0.39211164330527115,1.1564514714758067,0.13482881639626126,0.17407311718922724,0.1735872897491033,0.1170908859105395,0.7093218243403573,6.759658646337234e-05,0.3339051451044049,0.3248208882249166,0.34127396667067866,0.00013126373577783447,0.3680478576696786,0.16031785535530158,0.2749615547927527
